Title,Company,Industry,Role,Salary,City,Description,Experience,RecruiterName,RecruiterNumber,Website
Counselor / Motivator,Maharashtra Knowledge Corporation LTD,"IT-Software, Software Services",Client Relationship Manager,Not Disclosed by Recruiter,nagpur,"Samvadak Mitra will be responsible for assuring the quality of training and enabling the Network Partners to expand their reach to new students.  Samvadak Mitra will act as a catalyst or a change agent while interfacing with MKCLs ever-expanding network base.  They will help strengthen the human bond amongst them to build long-lasting relationships, to establish synergy for business growth, to motivate, encourage and offer counselling to network partners.  The Samvadak Mitra shall conduct periodic trainings on soft skills and quality to network partners.    Visit: https://mkcl.org/careers to know more.",5 - 10 yrs,AkshayGore,NA,https://mkcl.org/
"Area Sales Manager,",Greenlight planet Private Limited,"Consumer Electronics, Appliances, Durables",Area Sales Manager,Not Disclosed by Recruiter,nagpur,"Role Summary:   Responsible to manage 10-12 districts around Nagpur, Maharshtra & revamping distribution system & channel sales to optimize revenue. Creating best of the infra for channel sales (team and stockists) to achieve revenue & outlets growth. Will also be responsible to drive strong activations and rural engagement programs in order to promote Sun King in direct & newer sales channels.   Key responsibilities:   Responsible for meeting the goals  revenue / distribution goals- Managing entire distribution channel and creating best of the infra for the same Optimizing revenue from the channel Increasing the acquisition of new retail partners Increasing the acquisition of new stockists New products launch and marketing on ground Increase team productivity Drive planned activations throughout the month. Implement the retail marketing plans set out by the marketing team. Addressing & providing 100% resolution to service issues within TAT Studying the market for newer trends & reporting the same to the management Training & mentoring District Sales Manager, Area Executives and our Rural sales agents (SBAs)  Ideal Experience:  Previous experience of driving sales within the same channel Excellent interpersonal skills and an ability to build strong relationships with partners Strong personal network within the industry Driven, highly motivated and passionate about sales",2 - 7 yrs,Shramanasengupta,NA,NA
Investment Advisor - Nagpur,Edelweiss Financial Services Limited.,"Banking, Financial Services, Broking",Wealth Manager,Not Disclosed by Recruiter,nagpur,"Acquisition of new HNI/Affluent clients for Equity & Derivatives Segment. Executing trades during markets hours through terminal. 	Maintaining healthy relationships with all the potential clients.  	Creation of revenue & Activation of clients through effective Advisory.  	Cross selling of other products like Structured Product, AIFs, Funding, Mutual fund, PMS &, Insurance.  	Handling Queries & complains of client's & solving it within TAT.  	Profiling clients by conducting in depth review of client's financial requirements, analyzing information & recommending portfolios.",1 - 6 yrs,NikitaPujari,NA,NA
HR Manager,Multiurban Infra Services Pvt. Ltd.,"Construction, Engineering, Cement, Metals",HR Manager,"INR 5,00,000 - 6,00,000 PA.",nagpur,"Roles and responsibilities Human Resource Management   Manage Human Resource, identifying and shortlisting talent, Performance Appraisal, Attendance Management, Government Compliances, Salary Calculation and remittance.   Required Candidate profileMust be experienced in handling organization of 150-200 employees.Perks and Benefits 1",8 - 10 yrs,NA,NA,NA
Project Co-ordinator,Multiurban Infra Services Pvt. Ltd.,"Construction, Engineering, Cement, Metals",Project Manager-Production/Manufacturing/Maintenance,"INR 4,50,000 - 5,00,000 PA. 2",nagpur,"Well verse with RCC structural work, Pipeline laying work All general aspects related to Civil work.  Knowledge MS-Excel & MS Word. Educational qualifications, Co-ordination Govt Bodies, Reporting ,  Material Stock Accounting, Site Expense Accounting, Record Keeping. Payment follow up ,   Ensure Site Completion as per schedule.",5 - 7 yrs,NA,NA,NA
Area Manager - Channel Sales - FMCG,Confidential,"FMCG, Foods, Beverage",Area Sales Manager,Not Disclosed by Recruiter,nagpur,"Roles and responsibilities    Business/ Channel:   - Drive overall sales and growth at the unit level by meticulous planning and designing of schemes, inputs, and resources  - Explore opportunities for gaining market share by analyzing data and trends to ensure sustainable sale potential  - Analyze data and keep track of key parameters to enhance operational effectiveness  - Identify opportunities for network expansion in the market like the addition of new contractors/ dealers, value up-gradation of existing dealers etc.  - Design schemes based on sales planning agenda and market feedback to ensure overall contractor/ dealer profitability and sales growth collections  - Oversee effective money circulation with dealers to ensure timely collections and ensure no outstanding dues  - Seeding, New contractor/ dealer appointment & channel Management  - Monitoring the Product Mix, Competitor activities  - Tracking Competitors & Sales, Market Share, Price Position and marketing initiatives  - Conducting promotional activities to ensure the achievement of the sales targets   Team Management:   - Strategize and drive growth of core and focused products by identifying opportunities and analyzing trends and getting the plan implemented by the team  - Work on growth and development of the reporting team by providing them with required inputs, direction and opportunities.  - Productive utilization of manpower resources to drive business growths",6 - 10 yrs,HR,NA,NA
Fundraising Executive,HealthCare Global Enterprises Ltd,"Medical, Healthcare, Hospitals",Administration Services/Medical Facilities,Not Disclosed by Recruiter,nagpur,"Experience: 1 - 4 Years  Qualification - Any Graduate .  Location: Nagpur  Responsibilities and Duties   Identify , Contact and Follow up with new business opportunities from corporate , Govt. , and other donors that are aligned to CSR Strategy.   Compile , maintain and grow donor - base numbers and contribution using various interventions   Strategizing and designing fundraising campaigns , activities and events - direct - donor campaigns , event opportunities , group fundraising.   Organize or provide assistance in organizing Health Awareness campaigns ,   create cancer survivor support group   Team player with a strong work ethic , passion and commitment to the mission   Excellent communication skills both written and verbal , professional , proactive and ability to build relationships that lead to results   Maintain relationships with existing investors/donors and respond to their requests regularly and keep updating them about the work of the Foundation   Organize or provide assistance in organizing any fundraising events for the organization   Development of Corporate Partnership initiative   Following up with proposals sent to the corporates , coordinating signing of contracts and documentation   Continuously Work towards tapping into new Corporates and Donors.   Developing various newer strategies to increase funding opportunities.   Maintain Foundation patient records   Manage Art Gallery activities.",1 - 5 yrs,IshtiyaqueAnsari,NA,NA
Radiotherapy Technologist,HealthCare Global Enterprises Ltd,"Medical, Healthcare, Hospitals",Radiologic technologists,Not Disclosed by Recruiter,nagpur,Check Radiation Therapy equipment to ensure proper operation 	Assist Radiation Oncologist and Medical Physicist with preparation of radiation treatment plan. 	Monitor the patients physical and psychological wellbeing during the entire course of treatment. 	Advice the patient regarding the side effects of the treatment. 	Ensure that the patient receiving treatment understand the importance of treatment procedures. 	Cautiously and carefully position the patients such that the useful radiation beam is directed and limited to anatomical area to be treated. 	Double check all the treatment parameters before setting the monitor unit according the prescribed treatment dose. 	Apply appropriate shielding blocks and wedge filters and other accessories as prescribed in the treatment plan whenever necessary. 	Perform and document the results of many routine tasks for the safe use of licensed equipment as established in the radiation safety program. 	Assist the authorized users and medical physicist in ensuring that the treatment portal or location is accurate and that all instruction and information regarding administration of prescribed dose are clearly recorded and understood by all responsible parties. 	Ensure that the fractionated dose is administered as prescribed each time on a daily basis and that the correct patient receives the appropriate prescribed dose. 	Always be alert and prepared for any radiation emergency incidents or accidents that may arise during the course of radiation therapy procedures. 	Assist the senior RTT.,1 - 4 yrs,IshtiyaqueAnsari,NA,NA
Assistant Manager - Sales,CP Plus,IT-Hardware & Networking,Sales/Business Development Manager,"INR 4,00,000 - 6,00,000 PA.",nagpur,"We are looking for professionals from IT Hardware/Networking/Security/ Surveillance Industries. With base location at Nagpur, the responsibility will be Up country         Primary Responsibilities:      -               Responsible for Primary and secondary sales for the complete product line  -               Identify and explore new markets and create channel network  -               Maintain good relationship and harmony with existing and new channel partners.  -               Generate revenue thru repeat orders from channel partners and ensuring timely collection of payments  -               Follow up and closure of issues in pipe line with channel partners  -               Impart product training to employees of channel partners and System integrator  -               Monitoring competition activities and emerging market trends and provide inputs  -               Managing and coordinating sales and marketing activities with various stakeholders and partners for road show/events  -               Preparation and submitting of Daily sales report to reporting Manager  -               Coordinating with logistics for timely dispatch      Skill Requirements:                   Self-confidence with presentable personality with good communication skills  -               Knowledge of Microsoft office  -               Outgoing personality with the ability to stay calm under pressure.  -               Ability to network and build relations with various partners  -               Should be initiative with problem solving abilities  -               Influencing with customer service orientation",4 - 9 yrs,ArjunSingh,NA,NA
Area Sales Manager_business Loan_nagpur,POONAWALLA FINANCE PRIVATE LIMITED,"Banking, Financial Services, Broking",Area Sales Manager,"INR 8,00,000 - 12,00,000 PA.",nagpur,"Sourcing Business loan & Professional Loan business from DSAs / Channel Partners  	Building strong alliance with Local and Corporate DSAs.  	Mentoring, leading & supervising the performance of team members to ensure efficiency in process operations and meeting of individual & team targets.   	Achieving & exceeding Business goals and targets.  	Focus to continually increase the book size and profitability of the assigned location.  	Handle various Business Loan products and implement strategies towards enhancing market penetration, business volumes and growth through DSA.  	Recruit and manage a team of Relationship Managers, assist them in achieving their targets and drive them towards company goals.  	Coordinating with internal team, credit, operations and other support functions for smooth approval and disbursal of cases.  	To follow up for end to end cases for smooth disbursement  	To handle customer query of pre and post disbursement  	Providing training and up-to-date loan policy/program information to clients and channel partners.  	Ensuring maximum business with minimum delinquency  	Should be comfortable with travelling.   Competencies & Skills Set: -     	Excellent Communication skill  	Confident with strong Leadership Qualities  	Independent, meticulous & multi-tasker  	Team Management and Team Co-ordination  	Negotiation skills  	Masters Degree/MBA or Equivalent Qualification.",5 - 10 yrs,HRDepartment,NA,https://poonawallafinance.com/
